Number,Identifying,Describe
1028,1,賬號激活！
1028,2,輸入用戶名
1028,3,輸入賬號激活碼
1028,4,激活
1028,5,i.Properties
1030,1,账号激活！
1030,2,输入您的用户名
1030,3,输入账号激活码
1030,4,激活
1030,5,i.Properties
1033,1,Account Active !
1033,2,Enter username
1033,3,Enter account activation code
1033,4,Active
1033,5,i.Properties
